#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF301UTR	HEK293	H3K4me1	None	https://www.encodeproject.org/files/ENCFF301UTR/@@download/ENCFF301UTR.bed.gz
ENCFF815IYP	smooth-muscle-cell	H4K20me1	None	https://www.encodeproject.org/files/ENCFF815IYP/@@download/ENCFF815IYP.bed.gz
ENCFF464CMD	smooth-muscle-cell	H3K4me1	None	https://www.encodeproject.org/files/ENCFF464CMD/@@download/ENCFF464CMD.bed.gz
ENCFF675YIB	KMS-11	H3K27me3	None	https://www.encodeproject.org/files/ENCFF675YIB/@@download/ENCFF675YIB.bed.gz
ENCFF823OKF	smooth-muscle-cell	H3K36me3	None	https://www.encodeproject.org/files/ENCFF823OKF/@@download/ENCFF823OKF.bed.gz
ENCFF022RPE	SUDHL6	H4K20me1	None	https://www.encodeproject.org/files/ENCFF022RPE/@@download/ENCFF022RPE.bed.gz
ENCFF900KZW	fibroblast-of-arm	H3K9ac	None	https://www.encodeproject.org/files/ENCFF900KZW/@@download/ENCFF900KZW.bed.gz
ENCFF668IPJ	neural-progenitor-cell	H3K4me1	None	https://www.encodeproject.org/files/ENCFF668IPJ/@@download/ENCFF668IPJ.bed.gz
ENCFF781VYS	fibroblast-of-lung	H3K4me3	None	https://www.encodeproject.org/files/ENCFF781VYS/@@download/ENCFF781VYS.bed.gz
ENCFF296VDQ	mammary-epithelial-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF296VDQ/@@download/ENCFF296VDQ.bed.gz
ENCFF244DCV	neuroepithelial-stem-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF244DCV/@@download/ENCFF244DCV.bed.gz
ENCFF971SSW	endothelial-cell-of-umbilical-vein	H3K9me3	None	https://www.encodeproject.org/files/ENCFF971SSW/@@download/ENCFF971SSW.bed.gz
ENCFF085NAA	Loucy	H3K9me3	None	https://www.encodeproject.org/files/ENCFF085NAA/@@download/ENCFF085NAA.bed.gz
ENCFF120SGY	thyroid-gland	H3K27ac	None	https://www.encodeproject.org/files/ENCFF120SGY/@@download/ENCFF120SGY.bed.gz
ENCFF656AXR	NCI-H929	H3K4me1	None	https://www.encodeproject.org/files/ENCFF656AXR/@@download/ENCFF656AXR.bed.gz
ENCFF501MYI	neutrophil	H3K36me3	None	https://www.encodeproject.org/files/ENCFF501MYI/@@download/ENCFF501MYI.bed.gz
ENCFF426QFH	endothelial-cell-of-umbilical-vein	H3K27ac	None	https://www.encodeproject.org/files/ENCFF426QFH/@@download/ENCFF426QFH.bed.gz
ENCFF261XLO	gastrocnemius-medialis	H3K27me3	None	https://www.encodeproject.org/files/ENCFF261XLO/@@download/ENCFF261XLO.bed.gz
ENCFF797XRZ	OCI-LY3	H3K4me2	None	https://www.encodeproject.org/files/ENCFF797XRZ/@@download/ENCFF797XRZ.bed.gz
ENCFF749NUK	GM12864	H3K4me3	None	https://www.encodeproject.org/files/ENCFF749NUK/@@download/ENCFF749NUK.bed.gz
ENCFF549AYZ	SK-N-SH	H3F3A	None	https://www.encodeproject.org/files/ENCFF549AYZ/@@download/ENCFF549AYZ.bed.gz
ENCFF901ZPG	fibroblast-of-upper-leg-skin	H3K4me3	None	https://www.encodeproject.org/files/ENCFF901ZPG/@@download/ENCFF901ZPG.bed.gz
ENCFF801NOS	neural-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF801NOS/@@download/ENCFF801NOS.bed.gz
ENCFF710TRX	fibroblast-of-the-aortic-adventitia	H3K4me3	None	https://www.encodeproject.org/files/ENCFF710TRX/@@download/ENCFF710TRX.bed.gz
ENCFF592GIE	hepatocyte	H3K4me2	None	https://www.encodeproject.org/files/ENCFF592GIE/@@download/ENCFF592GIE.bed.gz
ENCFF946MXS	CD14-positive-monocyte	H3K27me3	None	https://www.encodeproject.org/files/ENCFF946MXS/@@download/ENCFF946MXS.bed.gz
ENCFF261AED	osteoblast	H3K4me3	None	https://www.encodeproject.org/files/ENCFF261AED/@@download/ENCFF261AED.bed.gz
ENCFF212PQN	K562	H3K79me2	None	https://www.encodeproject.org/files/ENCFF212PQN/@@download/ENCFF212PQN.bed.gz
ENCFF511QOB	B-cell	H3K9ac	None	https://www.encodeproject.org/files/ENCFF511QOB/@@download/ENCFF511QOB.bed.gz
ENCFF102NFO	H9	H3K27ac	None	https://www.encodeproject.org/files/ENCFF102NFO/@@download/ENCFF102NFO.bed.gz
ENCFF447MUW	PC-9	H3K9me2	None	https://www.encodeproject.org/files/ENCFF447MUW/@@download/ENCFF447MUW.bed.gz
ENCFF985VCY	osteoblast	H3K27me3	None	https://www.encodeproject.org/files/ENCFF985VCY/@@download/ENCFF985VCY.bed.gz
ENCFF796ZRF	retinal-pigment-epithelial-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF796ZRF/@@download/ENCFF796ZRF.bed.gz
ENCFF243CQX	OCI-LY3	H2AFZ	None	https://www.encodeproject.org/files/ENCFF243CQX/@@download/ENCFF243CQX.bed.gz
ENCFF179TFZ	MCF-7	H3K9me2	None	https://www.encodeproject.org/files/ENCFF179TFZ/@@download/ENCFF179TFZ.bed.gz
ENCFF184DUF	MCF-7	H4K20me1	None	https://www.encodeproject.org/files/ENCFF184DUF/@@download/ENCFF184DUF.bed.gz
ENCFF451UZW	HEK293	H3K27ac	None	https://www.encodeproject.org/files/ENCFF451UZW/@@download/ENCFF451UZW.bed.gz
ENCFF252HJC	SK-N-SH	H3K27me3	all-trans-retinoic-acid	https://www.encodeproject.org/files/ENCFF252HJC/@@download/ENCFF252HJC.bed.gz
ENCFF138ZAO	KMS-11	H3K79me2	None	https://www.encodeproject.org/files/ENCFF138ZAO/@@download/ENCFF138ZAO.bed.gz
ENCFF995ILL	heart-left-ventricle	H3K36me3	None	https://www.encodeproject.org/files/ENCFF995ILL/@@download/ENCFF995ILL.bed.gz
ENCFF957RDK	KOPT-K1	H3K36me3	None	https://www.encodeproject.org/files/ENCFF957RDK/@@download/ENCFF957RDK.bed.gz
ENCFF212ARN	CD14-positive-monocyte	H3K79me2	None	https://www.encodeproject.org/files/ENCFF212ARN/@@download/ENCFF212ARN.bed.gz
ENCFF249APF	CD14-positive-monocyte	H4K20me1	None	https://www.encodeproject.org/files/ENCFF249APF/@@download/ENCFF249APF.bed.gz
ENCFF560PQQ	CD14-positive-monocyte	H3K27ac	None	https://www.encodeproject.org/files/ENCFF560PQQ/@@download/ENCFF560PQQ.bed.gz
ENCFF053HOS	NCI-H929	H3F3A	None	https://www.encodeproject.org/files/ENCFF053HOS/@@download/ENCFF053HOS.bed.gz
ENCFF773ZOX	DND-41	H3K4me3	None	https://www.encodeproject.org/files/ENCFF773ZOX/@@download/ENCFF773ZOX.bed.gz
ENCFF420SSW	neural-progenitor-cell	H4K20me1	None	https://www.encodeproject.org/files/ENCFF420SSW/@@download/ENCFF420SSW.bed.gz
ENCFF099AIG	OCI-LY3	H3K27me3	None	https://www.encodeproject.org/files/ENCFF099AIG/@@download/ENCFF099AIG.bed.gz
ENCFF773MWG	OCI-LY1	H3K27ac	None	https://www.encodeproject.org/files/ENCFF773MWG/@@download/ENCFF773MWG.bed.gz
ENCFF116OPY	skeletal-muscle-myoblast	H3K4me3	None	https://www.encodeproject.org/files/ENCFF116OPY/@@download/ENCFF116OPY.bed.gz
ENCFF270RNZ	keratinocyte	H3K36me3	None	https://www.encodeproject.org/files/ENCFF270RNZ/@@download/ENCFF270RNZ.bed.gz
ENCFF277NRX	SK-N-SH	H3K27me3	None	https://www.encodeproject.org/files/ENCFF277NRX/@@download/ENCFF277NRX.bed.gz
ENCFF477XWO	cardiac-muscle-cell	H3K4me1	None	https://www.encodeproject.org/files/ENCFF477XWO/@@download/ENCFF477XWO.bed.gz
ENCFF197KIU	keratinocyte	H3K27me3	None	https://www.encodeproject.org/files/ENCFF197KIU/@@download/ENCFF197KIU.bed.gz
ENCFF658GSF	induced-pluripotent-stem-cell	H3K4me2	None	https://www.encodeproject.org/files/ENCFF658GSF/@@download/ENCFF658GSF.bed.gz
ENCFF425YGL	hepatocyte	H2AFZ	None	https://www.encodeproject.org/files/ENCFF425YGL/@@download/ENCFF425YGL.bed.gz
ENCFF046YRR	HEK293	H3K4me3	None	https://www.encodeproject.org/files/ENCFF046YRR/@@download/ENCFF046YRR.bed.gz
ENCFF711DZK	gastroesophageal-sphincter	H3K4me1	None	https://www.encodeproject.org/files/ENCFF711DZK/@@download/ENCFF711DZK.bed.gz
ENCFF054TZE	OCI-LY7	H4K20me1	None	https://www.encodeproject.org/files/ENCFF054TZE/@@download/ENCFF054TZE.bed.gz
ENCFF081VBD	neural-cell	H3K9me2	None	https://www.encodeproject.org/files/ENCFF081VBD/@@download/ENCFF081VBD.bed.gz
ENCFF381VIX	NT2/D1	H3K9ac	None	https://www.encodeproject.org/files/ENCFF381VIX/@@download/ENCFF381VIX.bed.gz
ENCFF882KEB	SUDHL6	H3K36me3	None	https://www.encodeproject.org/files/ENCFF882KEB/@@download/ENCFF882KEB.bed.gz
ENCFF550YZB	fibroblast-of-pulmonary-artery	H3K4me3	None	https://www.encodeproject.org/files/ENCFF550YZB/@@download/ENCFF550YZB.bed.gz
ENCFF002NFJ	smooth-muscle-cell	H3K27ac	None	https://www.encodeproject.org/files/ENCFF002NFJ/@@download/ENCFF002NFJ.bed.gz
ENCFF712OJP	ACC112	H3K4me3	None	https://www.encodeproject.org/files/ENCFF712OJP/@@download/ENCFF712OJP.bed.gz
ENCFF289XTV	thoracic-aorta	H3K27ac	None	https://www.encodeproject.org/files/ENCFF289XTV/@@download/ENCFF289XTV.bed.gz
ENCFF551WAX	neural-cell	H4K20me1	None	https://www.encodeproject.org/files/ENCFF551WAX/@@download/ENCFF551WAX.bed.gz
ENCFF466NRJ	epithelial-cell-of-proximal-tubule	H3K4me3	None	https://www.encodeproject.org/files/ENCFF466NRJ/@@download/ENCFF466NRJ.bed.gz
ENCFF835WQT	GM12865	H3K4me3	None	https://www.encodeproject.org/files/ENCFF835WQT/@@download/ENCFF835WQT.bed.gz
ENCFF060VWD	skeletal-muscle-myoblast	H3K4me2	None	https://www.encodeproject.org/files/ENCFF060VWD/@@download/ENCFF060VWD.bed.gz
ENCFF214WSR	thoracic-aorta	H3K9me3	None	https://www.encodeproject.org/files/ENCFF214WSR/@@download/ENCFF214WSR.bed.gz
ENCFF159IYQ	endothelial-cell-of-umbilical-vein	H3K36me3	None	https://www.encodeproject.org/files/ENCFF159IYQ/@@download/ENCFF159IYQ.bed.gz
ENCFF826EDS	fibroblast-of-arm	H3K79me2	None	https://www.encodeproject.org/files/ENCFF826EDS/@@download/ENCFF826EDS.bed.gz
ENCFF066ZAG	SK-N-SH	H2AFZ	None	https://www.encodeproject.org/files/ENCFF066ZAG/@@download/ENCFF066ZAG.bed.gz
ENCFF287NJM	cardiac-muscle-cell	H3K27ac	None	https://www.encodeproject.org/files/ENCFF287NJM/@@download/ENCFF287NJM.bed.gz
ENCFF023MGT	HCT116	H3K4me3	None	https://www.encodeproject.org/files/ENCFF023MGT/@@download/ENCFF023MGT.bed.gz
ENCFF456NIF	H1-hESC	H3K4me3	None	https://www.encodeproject.org/files/ENCFF456NIF/@@download/ENCFF456NIF.bed.gz
ENCFF628MEK	RWPE1	H3K27ac	None	https://www.encodeproject.org/files/ENCFF628MEK/@@download/ENCFF628MEK.bed.gz
ENCFF841QIW	gastrocnemius-medialis	H3K36me3	None	https://www.encodeproject.org/files/ENCFF841QIW/@@download/ENCFF841QIW.bed.gz
ENCFF151IYT	fibroblast-of-arm	H3K9me2	None	https://www.encodeproject.org/files/ENCFF151IYT/@@download/ENCFF151IYT.bed.gz
ENCFF758JOO	H9	H3K4me3	None	https://www.encodeproject.org/files/ENCFF758JOO/@@download/ENCFF758JOO.bed.gz
ENCFF851MNL	neural-progenitor-cell	H3K79me2	None	https://www.encodeproject.org/files/ENCFF851MNL/@@download/ENCFF851MNL.bed.gz
ENCFF089ITH	BE2C	H3K4me3	None	https://www.encodeproject.org/files/ENCFF089ITH/@@download/ENCFF089ITH.bed.gz
ENCFF603AYP	Peyer's-patch	H3K4me3	None	https://www.encodeproject.org/files/ENCFF603AYP/@@download/ENCFF603AYP.bed.gz
ENCFF371GMJ	K562	H3K9me3	None	https://www.encodeproject.org/files/ENCFF371GMJ/@@download/ENCFF371GMJ.bed.gz
ENCFF700AHK	OCI-LY1	H3K9ac	None	https://www.encodeproject.org/files/ENCFF700AHK/@@download/ENCFF700AHK.bed.gz
ENCFF776KYJ	VCaP	H3K27ac	None	https://www.encodeproject.org/files/ENCFF776KYJ/@@download/ENCFF776KYJ.bed.gz
ENCFF899DKP	bipolar-neuron	H3K79me2	None	https://www.encodeproject.org/files/ENCFF899DKP/@@download/ENCFF899DKP.bed.gz
ENCFF680UEY	mononuclear-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF680UEY/@@download/ENCFF680UEY.bed.gz
ENCFF558VHL	A549	H3K27me3	ethanol	https://www.encodeproject.org/files/ENCFF558VHL/@@download/ENCFF558VHL.bed.gz
ENCFF003JXM	thyroid-gland	H3K4me1	None	https://www.encodeproject.org/files/ENCFF003JXM/@@download/ENCFF003JXM.bed.gz
ENCFF463LZP	DOHH2	H4K20me1	None	https://www.encodeproject.org/files/ENCFF463LZP/@@download/ENCFF463LZP.bed.gz
ENCFF742HIQ	A673	H3K4me1	None	https://www.encodeproject.org/files/ENCFF742HIQ/@@download/ENCFF742HIQ.bed.gz
ENCFF537IXS	A673	H3K9me3	None	https://www.encodeproject.org/files/ENCFF537IXS/@@download/ENCFF537IXS.bed.gz
ENCFF543SLH	OCI-LY7	H3K4me3	None	https://www.encodeproject.org/files/ENCFF543SLH/@@download/ENCFF543SLH.bed.gz
ENCFF982ILN	OCI-LY7	H3K36me3	None	https://www.encodeproject.org/files/ENCFF982ILN/@@download/ENCFF982ILN.bed.gz
ENCFF027GUS	OCI-LY7	H3K4me1	None	https://www.encodeproject.org/files/ENCFF027GUS/@@download/ENCFF027GUS.bed.gz
ENCFF902YJU	hepatocyte	H3K4me3	None	https://www.encodeproject.org/files/ENCFF902YJU/@@download/ENCFF902YJU.bed.gz
ENCFF806LPY	fibroblast-of-arm	H3K4me1	None	https://www.encodeproject.org/files/ENCFF806LPY/@@download/ENCFF806LPY.bed.gz
ENCFF267IXZ	bipolar-neuron	H3K4me3	None	https://www.encodeproject.org/files/ENCFF267IXZ/@@download/ENCFF267IXZ.bed.gz
ENCFF975DYD	bipolar-neuron	H3K27ac	None	https://www.encodeproject.org/files/ENCFF975DYD/@@download/ENCFF975DYD.bed.gz
ENCFF784QFH	MCF-7	H3K27ac	None	https://www.encodeproject.org/files/ENCFF784QFH/@@download/ENCFF784QFH.bed.gz
ENCFF283ZXY	Loucy	H3K9ac	None	https://www.encodeproject.org/files/ENCFF283ZXY/@@download/ENCFF283ZXY.bed.gz
ENCFF802ILK	thyroid-gland	H3K27ac	None	https://www.encodeproject.org/files/ENCFF802ILK/@@download/ENCFF802ILK.bed.gz
ENCFF371MFX	Karpas-422	H3K27ac	None	https://www.encodeproject.org/files/ENCFF371MFX/@@download/ENCFF371MFX.bed.gz
ENCFF656PHI	Karpas-422	H3K4me3	None	https://www.encodeproject.org/files/ENCFF656PHI/@@download/ENCFF656PHI.bed.gz
ENCFF789BVZ	Karpas-422	H3K4me1	None	https://www.encodeproject.org/files/ENCFF789BVZ/@@download/ENCFF789BVZ.bed.gz
ENCFF986GPP	induced-pluripotent-stem-cell	H3K4me1	None	https://www.encodeproject.org/files/ENCFF986GPP/@@download/ENCFF986GPP.bed.gz
ENCFF904JVT	induced-pluripotent-stem-cell	H3K9me3	None	https://www.encodeproject.org/files/ENCFF904JVT/@@download/ENCFF904JVT.bed.gz
ENCFF133LOI	induced-pluripotent-stem-cell	H3K27ac	None	https://www.encodeproject.org/files/ENCFF133LOI/@@download/ENCFF133LOI.bed.gz
ENCFF360KYL	osteoblast	H3K9me3	None	https://www.encodeproject.org/files/ENCFF360KYL/@@download/ENCFF360KYL.bed.gz
ENCFF268HMO	GM12878	H3K36me3	None	https://www.encodeproject.org/files/ENCFF268HMO/@@download/ENCFF268HMO.bed.gz
ENCFF870YTV	NCI-H929	H3K4me3	None	https://www.encodeproject.org/files/ENCFF870YTV/@@download/ENCFF870YTV.bed.gz
ENCFF890CXZ	body-of-pancreas	H3K36me3	None	https://www.encodeproject.org/files/ENCFF890CXZ/@@download/ENCFF890CXZ.bed.gz
ENCFF995SFF	bipolar-neuron	H3K36me3	None	https://www.encodeproject.org/files/ENCFF995SFF/@@download/ENCFF995SFF.bed.gz
ENCFF981HQG	bipolar-neuron	H3K9me3	None	https://www.encodeproject.org/files/ENCFF981HQG/@@download/ENCFF981HQG.bed.gz
ENCFF327BFN	induced-pluripotent-stem-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF327BFN/@@download/ENCFF327BFN.bed.gz
ENCFF498MXO	SK-N-SH	H3K36me3	all-trans-retinoic-acid	https://www.encodeproject.org/files/ENCFF498MXO/@@download/ENCFF498MXO.bed.gz
ENCFF118PIE	K562	H3K4me2	None	https://www.encodeproject.org/files/ENCFF118PIE/@@download/ENCFF118PIE.bed.gz
ENCFF724DGK	mid-neurogenesis-radial-glial-cells	H3K27me3	None	https://www.encodeproject.org/files/ENCFF724DGK/@@download/ENCFF724DGK.bed.gz
ENCFF843HOM	H9	H3K4me1	None	https://www.encodeproject.org/files/ENCFF843HOM/@@download/ENCFF843HOM.bed.gz
ENCFF707IBR	GM06990	H3K4me3	None	https://www.encodeproject.org/files/ENCFF707IBR/@@download/ENCFF707IBR.bed.gz
ENCFF445HCF	cardiac-muscle-cell	H3K36me3	None	https://www.encodeproject.org/files/ENCFF445HCF/@@download/ENCFF445HCF.bed.gz
ENCFF865LYL	neural-progenitor-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF865LYL/@@download/ENCFF865LYL.bed.gz
ENCFF283YWD	body-of-pancreas	H3K36me3	None	https://www.encodeproject.org/files/ENCFF283YWD/@@download/ENCFF283YWD.bed.gz
ENCFF580XTE	induced-pluripotent-stem-cell	H3K27me3	None	https://www.encodeproject.org/files/ENCFF580XTE/@@download/ENCFF580XTE.bed.gz
ENCFF616YJD	induced-pluripotent-stem-cell	H3K36me3	None	https://www.encodeproject.org/files/ENCFF616YJD/@@download/ENCFF616YJD.bed.gz
ENCFF053EMF	neural-progenitor-cell	H3K27me3	None	https://www.encodeproject.org/files/ENCFF053EMF/@@download/ENCFF053EMF.bed.gz
ENCFF393HCO	gastrocnemius-medialis	H3K27ac	None	https://www.encodeproject.org/files/ENCFF393HCO/@@download/ENCFF393HCO.bed.gz
ENCFF691TUV	neural-progenitor-cell	H3K9ac	None	https://www.encodeproject.org/files/ENCFF691TUV/@@download/ENCFF691TUV.bed.gz
ENCFF061XTF	endothelial-cell-of-umbilical-vein	H2AFZ	None	https://www.encodeproject.org/files/ENCFF061XTF/@@download/ENCFF061XTF.bed.gz
ENCFF682KVR	neuroepithelial-stem-cell	H3K36me3	None	https://www.encodeproject.org/files/ENCFF682KVR/@@download/ENCFF682KVR.bed.gz
ENCFF108EBI	PC-9	H3K36me3	None	https://www.encodeproject.org/files/ENCFF108EBI/@@download/ENCFF108EBI.bed.gz
ENCFF903NDX	OCI-LY7	H3K9me3	None	https://www.encodeproject.org/files/ENCFF903NDX/@@download/ENCFF903NDX.bed.gz
ENCFF272UZC	fibroblast-of-arm	H3K27me3	None	https://www.encodeproject.org/files/ENCFF272UZC/@@download/ENCFF272UZC.bed.gz
ENCFF807XGY	fibroblast-of-arm	H3K36me3	None	https://www.encodeproject.org/files/ENCFF807XGY/@@download/ENCFF807XGY.bed.gz
ENCFF813YSM	PC-9	H3K9me3	None	https://www.encodeproject.org/files/ENCFF813YSM/@@download/ENCFF813YSM.bed.gz
ENCFF741EBK	A673	H3K27me3	None	https://www.encodeproject.org/files/ENCFF741EBK/@@download/ENCFF741EBK.bed.gz
ENCFF979ACW	A673	H3K27ac	None	https://www.encodeproject.org/files/ENCFF979ACW/@@download/ENCFF979ACW.bed.gz
ENCFF280WTT	bipolar-neuron	H3K27me3	None	https://www.encodeproject.org/files/ENCFF280WTT/@@download/ENCFF280WTT.bed.gz
ENCFF324MMT	kidney-epithelial-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF324MMT/@@download/ENCFF324MMT.bed.gz
ENCFF097MRS	SK-N-MC	H3K27me3	None	https://www.encodeproject.org/files/ENCFF097MRS/@@download/ENCFF097MRS.bed.gz
ENCFF233MCK	bronchial-epithelial-cell	H3K4me3	None	https://www.encodeproject.org/files/ENCFF233MCK/@@download/ENCFF233MCK.bed.gz
ENCFF985WEH	myotube	H3K4me1	None	https://www.encodeproject.org/files/ENCFF985WEH/@@download/ENCFF985WEH.bed.gz
ENCFF657XGG	mammary-epithelial-cell	H4K20me1	None	https://www.encodeproject.org/files/ENCFF657XGG/@@download/ENCFF657XGG.bed.gz
ENCFF192GHN	cardiac-mesoderm	H3K4me3	None	https://www.encodeproject.org/files/ENCFF192GHN/@@download/ENCFF192GHN.bed.gz
ENCFF163LYZ	SK-N-MC	H3K4me3	None	https://www.encodeproject.org/files/ENCFF163LYZ/@@download/ENCFF163LYZ.bed.gz
ENCFF631VWP	K562	H3K36me3	None	https://www.encodeproject.org/files/ENCFF631VWP/@@download/ENCFF631VWP.bed.gz
ENCFF634SON	Karpas-422	H3K27me3	None	https://www.encodeproject.org/files/ENCFF634SON/@@download/ENCFF634SON.bed.gz
ENCFF036BNP	PC-3	H3K36me3	None	https://www.encodeproject.org/files/ENCFF036BNP/@@download/ENCFF036BNP.bed.gz
ENCFF765EBO	PC-3	H3K4me3	None	https://www.encodeproject.org/files/ENCFF765EBO/@@download/ENCFF765EBO.bed.gz
ENCFF133DLL	PC-3	H3K9me3	None	https://www.encodeproject.org/files/ENCFF133DLL/@@download/ENCFF133DLL.bed.gz
ENCFF123QID	PC-3	H3K27me3	None	https://www.encodeproject.org/files/ENCFF123QID/@@download/ENCFF123QID.bed.gz
ENCFF080LBO	PC-3	H3K4me1	None	https://www.encodeproject.org/files/ENCFF080LBO/@@download/ENCFF080LBO.bed.gz
ENCFF920FLS	fibroblast-of-dermis	H3K27ac	None	https://www.encodeproject.org/files/ENCFF920FLS/@@download/ENCFF920FLS.bed.gz
ENCFF286CTR	myotube	H3K36me3	None	https://www.encodeproject.org/files/ENCFF286CTR/@@download/ENCFF286CTR.bed.gz
ENCFF907LDT	mammary-epithelial-cell	H3K36me3	None	https://www.encodeproject.org/files/ENCFF907LDT/@@download/ENCFF907LDT.bed.gz
ENCFF856SEW	NT2/D1	H3K36me3	None	https://www.encodeproject.org/files/ENCFF856SEW/@@download/ENCFF856SEW.bed.gz
ENCFF162HPV	H1-hESC	H3K27ac	None	https://www.encodeproject.org/files/ENCFF162HPV/@@download/ENCFF162HPV.bed.gz
ENCFF434CLI	Caco-2	H3K4me3	None	https://www.encodeproject.org/files/ENCFF434CLI/@@download/ENCFF434CLI.bed.gz
ENCFF022DZS	Panc1	H3K36me3	None	https://www.encodeproject.org/files/ENCFF022DZS/@@download/ENCFF022DZS.bed.gz
ENCFF470ODH	fibroblast-of-dermis	H3K4me3	None	https://www.encodeproject.org/files/ENCFF470ODH/@@download/ENCFF470ODH.bed.gz
ENCFF967OLB	cardiac-mesoderm	H3K4me3	None	https://www.encodeproject.org/files/ENCFF967OLB/@@download/ENCFF967OLB.bed.gz
ENCFF164KKC	MM.1S	H3K36me3	None	https://www.encodeproject.org/files/ENCFF164KKC/@@download/ENCFF164KKC.bed.gz
ENCFF957INX	MM.1S	H3K27ac	None	https://www.encodeproject.org/files/ENCFF957INX/@@download/ENCFF957INX.bed.gz
ENCFF389APM	MM.1S	H3K27ac	None	https://www.encodeproject.org/files/ENCFF389APM/@@download/ENCFF389APM.bed.gz
ENCFF964GEQ	MM.1S	H3K27me3	None	https://www.encodeproject.org/files/ENCFF964GEQ/@@download/ENCFF964GEQ.bed.gz
ENCFF008PVB	myotube	H3K9me3	None	https://www.encodeproject.org/files/ENCFF008PVB/@@download/ENCFF008PVB.bed.gz
ENCFF947ABI	MCF-7	H3K27me3	None	https://www.encodeproject.org/files/ENCFF947ABI/@@download/ENCFF947ABI.bed.gz
ENCFF737VLP	keratinocyte	H3K9me3	None	https://www.encodeproject.org/files/ENCFF737VLP/@@download/ENCFF737VLP.bed.gz
ENCFF224GRF	foreskin-fibroblast	H3K4me3	None	https://www.encodeproject.org/files/ENCFF224GRF/@@download/ENCFF224GRF.bed.gz
ENCFF358CJW	HepG2	H3K9ac	None	https://www.encodeproject.org/files/ENCFF358CJW/@@download/ENCFF358CJW.bed.gz
ENCFF153VOQ	GM12878	H3K27me3	None	https://www.encodeproject.org/files/ENCFF153VOQ/@@download/ENCFF153VOQ.bed.gz
ENCFF699QNO	kidney-epithelial-cell	H3K36me3	None	https://www.encodeproject.org/files/ENCFF699QNO/@@download/ENCFF699QNO.bed.gz
ENCFF596BJF	skeletal-muscle-myoblast	H3K4me3	None	https://www.encodeproject.org/files/ENCFF596BJF/@@download/ENCFF596BJF.bed.gz
ENCFF821LWB	MM.1S	H3K9me3	None	https://www.encodeproject.org/files/ENCFF821LWB/@@download/ENCFF821LWB.bed.gz
ENCFF552LNJ	MM.1S	H3K4me3	None	https://www.encodeproject.org/files/ENCFF552LNJ/@@download/ENCFF552LNJ.bed.gz
ENCFF321ECE	MM.1S	H3K4me3	None	https://www.encodeproject.org/files/ENCFF321ECE/@@download/ENCFF321ECE.bed.gz
ENCFF143GDH	MM.1S	H3K4me1	None	https://www.encodeproject.org/files/ENCFF143GDH/@@download/ENCFF143GDH.bed.gz
ENCFF538AHZ	MM.1S	H3K4me1	None	https://www.encodeproject.org/files/ENCFF538AHZ/@@download/ENCFF538AHZ.bed.gz
ENCFF005LQD	fibroblast-of-dermis	H2AFZ	None	https://www.encodeproject.org/files/ENCFF005LQD/@@download/ENCFF005LQD.bed.gz
ENCFF493YLO	Caco-2	H3K27me3	None	https://www.encodeproject.org/files/ENCFF493YLO/@@download/ENCFF493YLO.bed.gz
ENCFF907HWV	cardiac-mesoderm	H3K36me3	None	https://www.encodeproject.org/files/ENCFF907HWV/@@download/ENCFF907HWV.bed.gz
ENCFF626ZXA	myotube	H3K27ac	None	https://www.encodeproject.org/files/ENCFF626ZXA/@@download/ENCFF626ZXA.bed.gz
ENCFF882OAX	myotube	H3K9ac	None	https://www.encodeproject.org/files/ENCFF882OAX/@@download/ENCFF882OAX.bed.gz
ENCFF829STQ	fibroblast-of-dermis	H3K79me2	None	https://www.encodeproject.org/files/ENCFF829STQ/@@download/ENCFF829STQ.bed.gz
ENCFF025VJJ	GM12878	H4K20me1	None	https://www.encodeproject.org/files/ENCFF025VJJ/@@download/ENCFF025VJJ.bed.gz
ENCFF963BLP	HCT116	H3K4me1	None	https://www.encodeproject.org/files/ENCFF963BLP/@@download/ENCFF963BLP.bed.gz
ENCFF385RUL	cardiac-mesoderm	H3K27me3	None	https://www.encodeproject.org/files/ENCFF385RUL/@@download/ENCFF385RUL.bed.gz
ENCFF547WSF	mammary-epithelial-cell	H3K27ac	None	https://www.encodeproject.org/files/ENCFF547WSF/@@download/ENCFF547WSF.bed.gz
ENCFF453PEP	GM12878	H3K4me1	None	https://www.encodeproject.org/files/ENCFF453PEP/@@download/ENCFF453PEP.bed.gz
ENCFF257VHT	fibroblast-of-dermis	H3K9me3	None	https://www.encodeproject.org/files/ENCFF257VHT/@@download/ENCFF257VHT.bed.gz
ENCFF375FQE	astrocyte	H3K4me3	None	https://www.encodeproject.org/files/ENCFF375FQE/@@download/ENCFF375FQE.bed.gz
